Rating,Professor Gender,Comment Text
3.5,M,a very nice and lenient professor he does tend to go off topic during lectures unfortunately we get to finish all the chapts and topics during my fall semester honestly i just think getting old but not a bad professor although he only took attendance sometimes best to show up to know what will be on tests no hw
1.0,M,a junior and a i took him during my first semester at bc his class is still the only class in my life that gotten a c in his exams have nothing to do with the textbook and his lectures are not coherent writing this review because i want to make sure other students make the same mistake i did take him
2.0,M,very unclear long rambling lectures very self-centered man lectures were about himself and about the material test questions had some surprises content that you can be sure was never covered in class he is sadly nearly tenured
1.0,M,prof class was horrible not only did i get nothing out of his class but it was the first class i got a c in always received a b or an a in a psyc class he gets off topic in a heartbeat so you end up lost hes so disorganized some people should not be allowed to teach please do not take him or regret it as i have now
1.0,M,if you have barely any interest in the subject of psychology i fully recommend taking his class for you will pass he took most of the time in class to talk about his personal life barley uses the textbook two tests plus a final drops the lowest grade he was so behind on teaching us that he gave every student a for the second exam
2.0,M,eaaaasy grade just show up didnt need to pay attention half of the time never used the textbook and still passed only tests lowest score is dropped very much a story telling teacher mostly about his personal life and random things going on in class
1.0,M,i am a junior with a and he is the worst teacher i have ever had he skips steps in processes which makes everyone lost is never in his office during his office hours always late to class and receiving text messages and phone calls puts homework on the syllabus and never mentions it and expects it to be done take him
2.5,M,he knows his stuff but not there for his students very distant professor and not very approachable very harsh grader do not take if you are not an english major
1.0,M,if a student who is horrible at taking exams or actually have a life and have to work in order to pay for college do not take any course with professor kurylo his class is exams and attendance no extra credit no project and no presentation he does not care if you fail
5.0,M,i thought he was weird at first but i grew to love his weirdness i love his sarcasm i only pay attention to catch the few sarcastic jokes he throws out good guy teaches clearly he also makes funny faces without noticing super interesting haha
5.0,M,prof kurylo is not the typical college professor that just want you to memorize a bunch of stuff and then feed it back on a paper he really expect you to think on his test it is more benefit for you to understand why rather than just study like a robot
4.0,M,this is my third time taking one of classes and i am still very happy with his teaching and testing techniques the test are fairly difficult but there is always a curve as long as you are a good note taker you will be fine also read the stories and diagrams in the textbook almost always at least one question related to them on exam
3.5,M,delamater is incredibly knowledgeable and has a lot to say this can work against him however because he will often go on and on about something that could have been said in minutes he is also disrespectful--making students feel embarrassed for saying the wrong thing mocking students rolling his eyes
2.5,M,i dont recommend him he know how to explain no extra credit no homework no study guide three exams extremely hard you have to study on your own and read the book a few times to get the concepts well
2.0,M,professor abramov where do i even begin his notes are confusing and his tests are extremely hard he comes into class talks for minutes and then you leave and have to read the textbook front to back the final was chapters he should retire expect to self teach yourself everything he is too difficult for an introduction course
5.0,M,personally i think he is the best professor in brooklyn college simply not enough space to tell you all the good things about him he really makes it easy to do well in a tough class show up to class and take notes make sure you understand the material and you will do not just fine but get an a if you want to understand stats you must take him
4.5,M,he is the best for statistics homework total super eas y if you go to class three exams including the final and you are allow to bring cheats sheets for the three exams also the final is very easy take him if you want to learn statistics
4.5,M,i have other stats classes that i have taken to compare him to and hands down i wish i would have had him first one of the most understanding statistics professors ever had makes the lessons clear to understand offers extra help in any way he can the material is hard but you leave understanding statistics the way he teaches it
